,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
0,11B,e-waste,,,H4.1,,41.414,,SE,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
1,"Y32,Y33",Spent pot liner (lumps of carbonaceous & refractory material with metallic inclusions),,,"H4.3,H6.1",,1286.9,,NZ,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
2,Y31,Lead acid batteries,,,H8,,1031.7,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
3,Y31,Lead acid batteries,,,H8,,77.8,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
4,Y18,Aluminium salt slag consisting mainly (75%) of aluminium oxide,,,H4.3,,5171.6,,NO,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
5,Y31,Lead acid batteries,,,H8,,1080.2,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
6,Y39,Spent pot liner,,,H4.3,,5178.7,,IS,,"R5,R4",United Kingdom of Great Britain and Northern Ireland,2015
7,11B,Salt slag from secondary aluminium production,,,H4.3,,5992.0,,NO,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
8,Y45,"Refrigeration gases (HCFC, HFC & CFC)",,,H12,,19.0,,IE,,R3,United Kingdom of Great Britain and Northern Ireland,2015
9,"Y31,Y34",Lead acid batteries,,,H8,,222.94,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
10,Y31,Lead acid batteries,,,"H8,H12",,47.8,,IS,,R4,United Kingdom of Great Britain and Northern Ireland,2015
11,11B,Aluminium salt slag,,,H4.3,,2370.66,,NO,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
12,Y_,,,,"H4.1,H11","Inflammable solids
Toxic(delayed or chronic)",0.56,,BE,,R8,United Kingdom of Great Britain and Northern Ireland,2015
13,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H4.2,Substances or wastes liable to spontaneous combustion,19.93,,FR,,R8,United Kingdom of Great Britain and Northern Ireland,2015
14,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,"H6.1,H8","Poisonous(acute)
Corrosives",9.52,BE,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2015
15,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H11,Toxic(delayed or chronic),0.17,,KR,,R8,United Kingdom of Great Britain and Northern Ireland,2015
16,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,,,0.01,,KR,,R8,United Kingdom of Great Britain and Northern Ireland,2015
17,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,,,96.19,"BE,FR",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
18,Y_,A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,,"H3,H6.1","Inflammable liquids
Poisonous(acute)",15.5,,IE,,"R3,R4",United Kingdom of Great Britain and Northern Ireland,2015
19,Y_,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,,,Not applicable,22.06,NL,IS,,R5,United Kingdom of Great Britain and Northern Ireland,2015
20,Y_,Aluminium skimmings,,,H4.3,"Substances or wastes which, in contact with water, emit inflammable gases",1302.75,NL,IS,,R4,United Kingdom of Great Britain and Northern Ireland,2015
21,Y_,Discarded electrical and electronic equipment containing hazardous and non-hazardous parts,,,,Not applicable,3996.0,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
22,Y_,Discarded electrical and electronic equipment containing hazardous and non-hazardous parts,,,,Not applicable,980.0,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
23,Y_,Discarded electrical and electronic equipment containing hazardous and non-hazardous parts,,,,Not applicable,1664.58,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
24,Y_,Fabrication bricks,,,,Not applicable,1977.22,,NL,,R5,United Kingdom of Great Britain and Northern Ireland,2015
25,Y_,Horticultural rockwool,,,,Not applicable,2164.66,"BE,FR",NL,,R5,United Kingdom of Great Britain and Northern Ireland,2015
26,Y_,Horticultural rockwool,,,,Not applicable,489.99,FR,BE,,R5,United Kingdom of Great Britain and Northern Ireland,2015
27,Y_,Horticultural rockwool,,,,Not applicable,485.14,RO,BE,,R5,United Kingdom of Great Britain and Northern Ireland,2015
28,Y_,Rock wool granules,,,,Not applicable,2700.0,,NL,,R5,United Kingdom of Great Britain and Northern Ireland,2015
29,Y_,Rockwool,,,,Not applicable,10791.0,,NL,,R5,United Kingdom of Great Britain and Northern Ireland,2015
30,Y_,Discarded electrical and electronic equipment,,,,Not applicable,754.51,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
31,"Y1,Y2,Y3,Y6,Y12,Y13",A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,,H3,Inflammable liquids,1.32,,IE,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
32,"Y12,Y42","A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,,,Not applicable,4.17,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2015
33,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,,88.64,"BE,FR",NL,,R4,United Kingdom of Great Britain and Northern Ireland,2015
34,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,H8,Corrosives,18.18,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
35,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,H8,Corrosives,58.66,,IE,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
36,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,H12,Ecotoxic,33.02,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
37,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,,5.43,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
38,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,Not applicable,1121.339,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
39,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,Not applicable,88.86,"BE,FR",NL,,R5,United Kingdom of Great Britain and Northern Ireland,2015
40,Y17,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H13,"Capable, by any means, after disposal, of yielding an material, eg leachate, which possesses any characteristics listed above",28.7,,IL,,R4,United Kingdom of Great Britain and Northern Ireland,2015
41,Y17,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H13,"Capable, by any means, after disposal, of yielding an material, eg leachate, which possesses any characteristics listed above",7.26,,IL,,R4,United Kingdom of Great Britain and Northern Ireland,2015
42,Y17,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H12,Ecotoxic,99.85,"GR,TR",MK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
43,Y17,"A4090 Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120) ",,,H6.1,Poisonous(acute),1838.04,,IE,,R5,United Kingdom of Great Britain and Northern Ireland,2015
44,Y17,"A4090 Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120) ",,,"H6.1,H12","Poisonous(acute)
Ecotoxic",473.73,,IE,,R5,United Kingdom of Great Britain and Northern Ireland,2015
45,Y17,"A4090 Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120) ",,,H8,Corrosives,251.03,,BE,,R5,United Kingdom of Great Britain and Northern Ireland,2015
46,Y17,"A4090 Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120) ",,,"H6,H8","Toxic
Corrosives",1060.58,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
47,Y17,AB030 Wastes from non-cyanide based systems which arise from surface treatment of metals. ,,,"H6.1,H8","Poisonous(acute)
Corrosives",25.21,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
48,Y17,Material containing metal particles & dust from manufacture of orthopaedic implants,,,"H4.1,H4.2","Inflammable solids
Substances or wastes liable to spontaneous combustion",6.9,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
49,Y17,Nickel production dust,,,H12,Ecotoxic,1.04,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
50,Y17,Non ferrous metal concentrate,,,,Not applicable,118.82,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
51,Y18,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H13,"Capable, by any means, after disposal, of yielding an material, eg leachate, which possesses any characteristics listed above",32.06,,IL,,R4,United Kingdom of Great Britain and Northern Ireland,2015
52,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H12,Ecotoxic,0.31,,SK,,R8,United Kingdom of Great Britain and Northern Ireland,2015
53,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H11,Toxic(delayed or chronic),1073.78,"FR,BE",DE,,R8,United Kingdom of Great Britain and Northern Ireland,2015
54,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,,,,173.5,,GR,,R8,United Kingdom of Great Britain and Northern Ireland,2015
55,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,,,Not applicable,275.27,,DE,,R8,United Kingdom of Great Britain and Northern Ireland,2015
56,"Y18,Y32,Y33,Y34,Y35",A4140 Waste consisting of or containing off-specification or out-dated 18 chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics ,,,"H4.1,H4.2,H4.3,H5.1,H6.1,H8,H12","Inflammable solids
Substances or wastes liable to spontaneous combustion
Substances or wastes which, in contact with water, emit inflammable gases
Oxidizing
Poisonous(acute)
Corrosives
Ecotoxic",0.06,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
57,"Y18,Y34","A4090 Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120) ",,,"H3,H5.1,H6.1,H8","Inflammable liquids
Oxidizing
Poisonous(acute)
Corrosives",0.47,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
58,"Y18,Y34,Y35",A4140 Waste consisting of or containing off-specification or out-dated 18 chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics ,,,"H3,H4.1,H4.2,H4.3,H5.1,H6.1,H8,H9,H12","Inflammable liquids
Inflammable solids
Substances or wastes liable to spontaneous combustion
Substances or wastes which, in contact with water, emit inflammable gases
Oxidizing
Poisonous(acute)
Corrosives
Ecotoxic",0.23,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
59,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H11,H12","Inflammable liquids
Poisonous(acute)
Toxic(delayed or chronic)
Ecotoxic",18.77,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
60,Y2,A2030 Waste catalysts but excluding such wastes specified on list B ,,,"H4,H6","Irritant
Toxic",48.04,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
61,Y2,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H3,Inflammable liquids,13.94,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
62,Y2,A2030 Waste catalysts but excluding such wastes specified on list B ,,,"H3,H4.1,H6.1","Inflammable liquids
Inflammable solids
Poisonous(acute)",19.64,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
63,Y2,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H4.1,Inflammable solids,91.0,"FR,LU,BE",CH,,R4,United Kingdom of Great Britain and Northern Ireland,2015
64,Y2,A2030 Waste catalysts but excluding such wastes specified on list B ,,,H4.1,Inflammable solids,5.91,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
65,Y2,A3140 Waste non-halogenated organic solvents but excluding such wastes specified on list B ,,,H3,Inflammable liquids,434.78,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2015
66,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",132.44,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
67,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",194.9,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
68,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",142.35,,IE,,R3,United Kingdom of Great Britain and Northern Ireland,2015
69,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H4.1,H4.2,H4.3,H5.1,H6.1,H8,H12","Inflammable liquids
Inflammable solids
Substances or wastes liable to spontaneous combustion
Substances or wastes which, in contact with water, emit inflammable gases
Oxidizing
Poisonous(acute)
Corrosives
Ecotoxic",0.76,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
70,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H4.1,H4.2,H4.3,H5.1,H6.1,H8,H12","Inflammable liquids
Inflammable solids
Substances or wastes liable to spontaneous combustion
Substances or wastes which, in contact with water, emit inflammable gases
Oxidizing
Poisonous(acute)
Corrosives
Ecotoxic",5.01,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
71,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H4,H6.1,H8,H12","Inflammable liquids
Irritant
Poisonous(acute)
Corrosives
Ecotoxic",4.76,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
72,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H4.1,H6.1,H8,H12","Inflammable liquids
Inflammable solids
Poisonous(acute)
Corrosives
Ecotoxic",3.94,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
73,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",241.44,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
74,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",986.51,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2015
75,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",5375.15,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2015
76,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",583.19,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2015
77,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",459.73,,IE,,R3,United Kingdom of Great Britain and Northern Ireland,2015
78,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",123.26,,IE,,R3,United Kingdom of Great Britain and Northern Ireland,2015
